,bikeid
10779,17635
10766,17672
10759,18333
10697,19254
10686,24812
10729,26194
10783,26712
10773,27312
10707,27742
10745,29004
10785,29289
10731,30550
10784,33556
10559,34235
10728,34422
10624,34425
10698,34427
10611,34431
10775,34435
10616,34440
10704,34447
10722,34448
10619,34449
10626,34450
10742,34461
10632,34463
10639,34464
10558,34468
10753,34469
10641,34473
10642,34476
10723,34478
10643,34482
10627,34483
10751,34485
10605,34487
10634,34488
10776,34490
10683,34491
10629,34498
10621,34503
10622,34504
10560,34507
10625,34508
10628,34510
10640,34521
10724,34527
10584,34529
10689,34530
10635,34531
10690,34532
10696,34533
10695,34534
10692,34535
10615,34536
10713,34537
10637,34538
10739,34539
10734,34540
10694,34541
10740,34542
10758,34543
10693,34544
10765,34545
10715,34546
10701,34547
10638,34549
10691,34550
10781,34551
10716,34552
10717,34553
10699,34556
10702,34557
10708,34558
10631,34560
10700,34562
10711,34564
10645,34565
10636,34572
10757,34577
10730,34578
10748,34579
10764,34580
10685,34581
10741,34582
10712,34584
10633,34592
10752,34593
10738,34594
10726,34595
10732,34596
10778,34598
10706,34599
10772,34600
10687,34601
10767,34602
10756,34603
10703,34604
10727,34605
10760,34606
10762,34607
10782,34608
10714,34609
10787,34616
10744,34617
10644,34619
10688,34620
10718,34621
10774,34622
10737,34624
10777,34625
10721,34628
10736,34629
10733,34630
10769,34631
10761,34632
10768,34633
10709,34634
10770,34635
10750,34636
10771,34637
10710,34638
10719,34639
10677,34649
10651,34654
10565,34655
10563,34656
10577,34657
10588,34658
10656,34660
10614,34661
10595,34662
10568,34663
10574,34664
10617,34665
10592,34666
10602,34667
10578,34668
10735,34670
10572,34671
10664,34674
10598,34675
10609,34677
10675,34678
10648,34679
10670,34680
10658,34681
10566,34683
10665,34685
10780,34692
10564,34693
10594,34694
10657,34697
10679,34698
10681,34702
10669,34703
10655,34704
10674,34707
10575,34709
10667,34710
10606,34711
10561,34712
10569,34713
10661,34714
10705,34715
10654,34718
10754,34721
10743,34722
10585,34724
10603,34725
10596,34726
10597,34727
10586,34728
10589,34730
10660,34731
10647,34733
10682,34734
10607,34735
10613,34736
10649,34737
10587,34738
10608,34739
10562,34740
10604,34741
10755,34742
10580,34743
10653,34744
10618,34746
10672,34747
10590,34748
10620,34749
10599,34750
10601,34751
10671,34752
10581,34753
10612,34754
10663,34755
10593,34756
10666,34757
10570,34758
10684,34759
10652,34760
10582,34761
10567,34762
10673,34763
10646,34764
10579,34765
10576,34766
10610,34767
10600,34768
10571,34769
10591,34770
10676,34771
10680,34772
10573,34777
10662,34779
10746,34781
10668,34782
10659,34783
10650,34785
10583,34788
10678,34792
10749,34812
10763,34816
10623,34820
10630,34821
10747,34822
10720,34834
10725,34835
10788,34838
10786,34839
